GSD,scale,iou,acc,f1
GSD0,1.0,0.18396430010029027,0.39744971833144793,0.26896587009646783
GSD0,1.0,0.11650866910936082,0.2848750830824569,0.18602254723021058
GSD0,1.0,0.28408433774430075,0.5350789504000476,0.40683592676472796
GSD0,1.0,0.25905424852760683,0.3085345276901739,0.40032992893432184
GSD0,1.0,0.21089713873704538,0.5061258775541928,0.292339404004424
GSD0,1.0,0.3585524065911794,0.5214678414653873,0.497055536925614
GSD0,1.0,0.2879242329611455,0.7782089120967576,0.3870442248726883
GSD0,1.0,0.2963395706003118,0.576559922985142,0.4033804107651082
GSD0,1.0,0.3589474135887308,0.6657692886911762,0.48844338105159074
GSD0,1.0,0.2065186687274146,0.43467965184589297,0.30322642472002215
GSD0,1.0,0.21102786335157764,0.1962182495480525,0.28367518502238936
GSD0,1.0,0.3086445410922839,0.4634242385103186,0.4316890716822689
GSD0,1.0,0.23476019466652018,0.36225151139216943,0.34526635961286595
GSD0,1.0,0.2684271411154021,0.44958637168952864,0.36387331487328145
GSD0,1.0,0.25029877956689417,0.5493936538696289,0.3258398726377961
GSD0,1.0,0.253016790880317,0.6278238939285725,0.3404852942938321
GSD0,1.0,0.12758682088412832,0.24870438848058427,0.20715686389870253
GSD0,1.0,0.06827920153071637,0.18237591814206258,0.1083112391931939
GSD0,1.0,0.10776312428182488,0.3173228008613682,0.16450172189700338
GSD0,1.0,0.28641010461676986,0.627996295369651,0.4037056621405245
GSD0,1.0,0.2900103431565858,0.5886663008810326,0.3814471711604822
GSD0,1.0,0.2626210838096078,0.3725845058938639,0.37344565871393653
GSD0,1.0,0.3295387956291731,0.5856751494684609,0.39725541095869915
GSD0,1.0,0.18781440213476433,0.4402349803811748,0.2760804649650433
GSD0,1.0,0.31801232367080523,0.3464296643983946,0.48247553388982406
GSD0,1.0,0.4123057047621548,0.5982623120279632,0.5671854871792192
GSD0,1.0,0.11683857281245864,0.18949736734280245,0.1998656056030428
GSD0,1.0,0.14688055589867127,0.14890746067261434,0.23258305446546235
GSD0,1.0,0.11904218371801677,0.2493421604985041,0.20149588038290991
GSD0,1.0,0.27053674117718235,0.23285344933130722,0.39638388110714873
GSD0,1.0,0.06407368137953362,0.08777673790162634,0.11480669517562112
GSD0,1.0,0.25375378197207166,0.48838001937224756,0.3462175657512049
GSD0,1.0,0.23600109842801542,0.3287180691129924,0.3335780277006402
GSD0,1.0,0.20610014033939666,0.26079557928325225,0.331718747549926
GSD0,1.0,0.14116544718233584,0.3854075315292742,0.20474726269041008
GSD0,1.0,0.5422860050245153,0.7357737129663724,0.7025158889175369
GSD0,1.0,0.29988563138541735,0.6447316509505312,0.41759535668878583
GSD0,1.0,0.19016259344057448,0.23475322952219202,0.28564132623162763
GSD0,1.0,0.11547013323380659,0.12336992049440319,0.19210477139366516
GSD0,1.0,0.16377063036194767,0.21894623818271805,0.22750153211289947
GSD0,1.0,0.15388355007068197,0.3893847626964986,0.2316501543635097
GSD0,1.0,0.26365398485423236,0.36510121086905356,0.38329891001593547
GSD0,1.0,0.3034986750712785,0.44880589808145166,0.41374211936961947
GSD0,1.0,0.1778419877176654,0.38358227933772093,0.23617252230600647
GSD0,1.0,0.44932353293145766,0.8947439193725586,0.4761102763875844
GSD0,1.0,0.37236340055643896,0.44031056803509283,0.47741045979395563
GSD0,1.0,0.4534519911279351,0.5850169556287911,0.6007458759584016
GSD0,1.0,0.20105002824026327,0.5070345643232247,0.27098249805118785
GSD0,1.0,0.15913376775299368,0.26125232103241286,0.23601779816434018
GSD0,1.0,0.26687822195139815,0.6391163241908457,0.38246437825837276
GSD0,1.0,0.37511506751123586,0.6926363422128362,0.4874247796712634
