Dataset,Weight File,Patch Size,Overlap,Accuracy,F1 Score - Macro,F1 Score - Weighted
Validation,55_Final_time2024-08-16_best_5e_acc95.pth,144,0.5,0.3757614076988324,0.24495460740374472,0.38148465009186217
Test,55_Final_time2024-08-16_best_5e_acc95.pth,144,0.5,0.3441587974757713,0.24113708785703836,0.3435901237779608
Validation,55_Final_time2024-08-16_best_5e_acc95.pth,184,0.5,0.45677174215985655,0.3022300335473461,0.4489906973551501
Test,55_Final_time2024-08-16_best_5e_acc95.pth,184,0.5,0.4054275871009242,0.28946840157536585,0.3965343144256491
Validation,55_Final_time2024-08-16_best_5e_acc95.pth,256,0.5,0.48227072169638086,0.32543931718170893,0.4710827257718217
Test,55_Final_time2024-08-16_best_5e_acc95.pth,256,0.5,0.41189819993345644,0.29902771777122655,0.3989593255068628
Validation,55_Final_time2024-08-16_best_5e_acc95.pth,320,0.5,0.47634771300747863,0.32375628917427485,0.4649143278877984
Test,55_Final_time2024-08-16_best_5e_acc95.pth,320,0.5,0.38822450086805554,0.2811582815632572,0.37680682960275186
Validation,53_Final_time2024-08-15_best_5e_acc94.pth,144,0.5,0.4255929071582836,0.29952771590548627,0.45082717308434805
Test,53_Final_time2024-08-15_best_5e_acc94.pth,144,0.5,0.35693199654426505,0.2899758215942521,0.3988833619983035
Validation,53_Final_time2024-08-15_best_5e_acc94.pth,184,0.5,0.5038242006365825,0.372772519258762,0.5028891445055511
Test,53_Final_time2024-08-15_best_5e_acc94.pth,184,0.5,0.43038945993488764,0.3460314721412684,0.4551440313762181
Validation,53_Final_time2024-08-15_best_5e_acc94.pth,256,0.5,0.4941711585475536,0.3680181758017202,0.481020057740552
Test,53_Final_time2024-08-15_best_5e_acc94.pth,256,0.5,0.4183213024182655,0.3444719188488011,0.43038242108573843
Validation,53_Final_time2024-08-15_best_5e_acc94.pth,320,0.5,0.47432550080128205,0.3568335249161712,0.4572448090480906
Test,53_Final_time2024-08-15_best_5e_acc94.pth,320,0.5,0.3996363064236111,0.31980267141904906,0.4024632189904993
Validation,51_Final_time2024-08-14_best_5e_acc94.pth,144,0.5,0.4710981259595795,0.32010973230194956,0.4654829975201274
Test,51_Final_time2024-08-14_best_5e_acc94.pth,144,0.5,0.3938138311580263,0.2902836443764234,0.39824179823606687
Validation,51_Final_time2024-08-14_best_5e_acc94.pth,184,0.5,0.508626679814357,0.3473079899431974,0.4846225063910113
Test,51_Final_time2024-08-14_best_5e_acc94.pth,184,0.5,0.43643198809336275,0.33222863756623977,0.4305920394499291
Validation,51_Final_time2024-08-14_best_5e_acc94.pth,256,0.5,0.5023204830747904,0.35912169642760156,0.46972503670531024
Test,51_Final_time2024-08-14_best_5e_acc94.pth,256,0.5,0.4228651864188058,0.320946169268808,0.40648897920894655
Validation,51_Final_time2024-08-14_best_5e_acc94.pth,320,0.5,0.4825908186431624,0.3440200207502342,0.4438077387979429
Test,51_Final_time2024-08-14_best_5e_acc94.pth,320,0.5,0.4071951497395833,0.2999585556719382,0.38209800108941677
Validation,52_Final_time2024-08-15_best_5e_acc94.pth,144,0.5,0.44524414605775553,0.3123627316882921,0.46003898330104537
Test,52_Final_time2024-08-15_best_5e_acc94.pth,144,0.5,0.3801977751296662,0.31219288700488934,0.4161878147184872
Validation,52_Final_time2024-08-15_best_5e_acc94.pth,184,0.5,0.5099738106490234,0.367056118576292,0.4980008925900186
Test,52_Final_time2024-08-15_best_5e_acc94.pth,184,0.5,0.44928434644770004,0.3497301933838599,0.45990210240651214
Validation,52_Final_time2024-08-15_best_5e_acc94.pth,256,0.5,0.5052428139913318,0.37052347477775094,0.4839587359140327
Test,52_Final_time2024-08-15_best_5e_acc94.pth,256,0.5,0.43611194325142166,0.336294180613538,0.4316400835016445
Validation,52_Final_time2024-08-15_best_5e_acc94.pth,320,0.5,0.48988990718482905,0.3560658722936704,0.4636602186483747
Test,52_Final_time2024-08-15_best_5e_acc94.pth,320,0.5,0.4133804144965278,0.30916077180658036,0.39946974438507266
Validation,54_Final_time2024-08-16_best_5e_acc94.pth,144,0.5,0.4240732623923507,0.2969825633916026,0.45733666174609533
Test,54_Final_time2024-08-16_best_5e_acc94.pth,144,0.5,0.35144249158894814,0.2863547231024215,0.3904259505406943
Validation,54_Final_time2024-08-16_best_5e_acc94.pth,184,0.5,0.4926379320965214,0.347573693027939,0.5012078744665305
Test,54_Final_time2024-08-16_best_5e_acc94.pth,184,0.5,0.4200014522290485,0.3334253605066207,0.43821016537815943
Validation,54_Final_time2024-08-16_best_5e_acc94.pth,256,0.5,0.4935768615839765,0.3525240059387413,0.49022202237159096
Test,54_Final_time2024-08-16_best_5e_acc94.pth,256,0.5,0.4127222177933674,0.3403132163992613,0.417593583467495
Validation,54_Final_time2024-08-16_best_5e_acc94.pth,320,0.5,0.4653640858707265,0.34677297827347914,0.46020482745187746
Test,54_Final_time2024-08-16_best_5e_acc94.pth,320,0.5,0.3893005099826389,0.31591850589766274,0.3820707861744688
