Dataset,Weight File,Patch Size,Overlap,Accuracy,F1 Score - Macro,F1 Score - Weighted
Validation,201_aug0_time2024-12-03_best_5e_acc97.pth,256,0.0,0.4653919660128079,0.3444569303529663,0.43844437892166
Test,201_aug0_time2024-12-03_best_5e_acc97.pth,256,0.0,0.4413900375366211,0.3731138755928936,0.4224538235449511
Validation,204_aug0_time2024-12-04_best_2e_acc97.pth,256,0.0,0.4463159447042351,0.3322396841560989,0.4367646243709155
Test,204_aug0_time2024-12-04_best_2e_acc97.pth,256,0.0,0.4448593987358941,0.3763741399379035,0.4139499865568027
Validation,203_aug0_time2024-12-04_best_5e_acc97.pth,256,0.0,0.4747627209394406,0.3446516820922172,0.4598424315365512
Test,203_aug0_time2024-12-04_best_5e_acc97.pth,256,0.0,0.458296881781684,0.3568383956687539,0.4354352777656451
Validation,202_aug0_time2024-12-04_best_5e_acc97.pth,256,0.0,0.4638786723471095,0.3442277385231443,0.4239341120000655
Test,202_aug0_time2024-12-04_best_5e_acc97.pth,256,0.0,0.4171834786732991,0.3474050971457435,0.3752305779177949
Validation,205_aug0_time2024-12-06_best_5e_acc97.pth,256,0.0,0.4779375842493823,0.3546151793407481,0.4589774731228264
Test,205_aug0_time2024-12-06_best_5e_acc97.pth,256,0.0,0.4212166468302409,0.3386760935920954,0.3949423949789611
Validation,53_Final_time2024-12-05_best_5e_acc95.pth,256,0.0,0.5206136295938084,0.4071164142820687,0.5063021731119948
Test,53_Final_time2024-12-05_best_5e_acc95.pth,256,0.0,0.4568512704637315,0.3615286617124322,0.4456641735654468
Validation,55_Final_time2024-12-06_best_5e_acc95.pth,256,0.0,0.5018697314792209,0.3671241019191537,0.4779977076207539
Test,55_Final_time2024-12-06_best_5e_acc95.pth,256,0.0,0.4556457201639811,0.3499552811076215,0.4344796275298349
Validation,52_Final_time2024-12-05_best_5e_acc95.pth,256,0.0,0.5115346256484333,0.3964292002926254,0.4789155581315672
Test,52_Final_time2024-12-05_best_5e_acc95.pth,256,0.0,0.4714355733659532,0.3710222267438178,0.4437925363453462
Validation,54_Final_time2024-12-06_best_5e_acc95.pth,256,0.0,0.495303471883138,0.3915564881310929,0.4902526657249628
Test,54_Final_time2024-12-06_best_5e_acc95.pth,256,0.0,0.4809946748945448,0.3620201681343657,0.4533679755412625
Validation,51_Final_time2024-12-05_best_5e_acc95.pth,256,0.0,0.5046548761873164,0.3690388347523763,0.4688681319546156
Test,51_Final_time2024-12-05_best_5e_acc95.pth,256,0.0,0.4850081337822808,0.3717776869084405,0.4447227679446115
Validation,224_aug2_time2024-12-01_best_5e_acc97.pth,256,0.0,0.4836843849247337,0.3584627703201626,0.4470668598040122
Test,224_aug2_time2024-12-01_best_5e_acc97.pth,256,0.0,0.4312573273976643,0.3562262669890493,0.3961184704866881
Validation,223_aug2_time2024-11-30_best_2e_acc97.pth,256,0.0,0.5013394478039864,0.3509712234097177,0.4873798822482993
Test,223_aug2_time2024-11-30_best_2e_acc97.pth,256,0.0,0.4486800034840901,0.3463773575707277,0.4431939301904319
Validation,221_aug2_time2024-11-29_best_2e_acc96.pth,256,0.0,0.469760519826514,0.3439102226268303,0.4740781186489236
Test,221_aug2_time2024-11-29_best_2e_acc96.pth,256,0.0,0.4449059168497721,0.3514229402310768,0.4342821038418773
Validation,222_aug2_time2024-11-29_best_2e_acc97.pth,256,0.0,0.4916856064755692,0.3614532492150779,0.4603330193937775
Test,222_aug2_time2024-11-29_best_2e_acc97.pth,256,0.0,0.4518868923187256,0.3711674943790431,0.4231161091821029
Validation,225_aug2_time2024-12-02_best_5e_acc96.pth,256,0.0,0.4673744348379282,0.3412038986832613,0.4671364784259286
Test,225_aug2_time2024-12-02_best_5e_acc96.pth,256,0.0,0.419596513112386,0.3281062906812392,0.4062098705752023
Validation,03_base_time2024-12-02_best_5e_acc96.pth,256,0.0,0.3884980372893504,0.2926297576829276,0.3878497384869614
Test,03_base_time2024-12-02_best_5e_acc96.pth,256,0.0,0.3891321553124321,0.3051884803507879,0.3699451348934073
Validation,01_base_time2024-12-01_best_5e_acc96.pth,256,0.0,0.3460057087433644,0.2235921980212389,0.3102988913500406
Test,01_base_time2024-12-01_best_5e_acc96.pth,256,0.0,0.3660885757870144,0.2824831468087702,0.3483426347255007
Validation,04_base_time2024-12-03_best_5e_acc96.pth,256,0.0,0.3617531621558034,0.2903179055349189,0.3522220928934808
Test,04_base_time2024-12-03_best_5e_acc96.pth,256,0.0,0.4106887446509467,0.315279314878884,0.3844008765617536
Validation,02_base_time2024-12-02_best_5e_acc96.pth,256,0.0,0.3778850359794421,0.2649574341132076,0.3465302238086757
Test,02_base_time2024-12-02_best_5e_acc96.pth,256,0.0,0.3946381409962972,0.3072530596153406,0.3711736122448796
Validation,05_base_time2024-12-04_best_5e_acc96.pth,256,0.0,0.2969274439363398,0.1748487898888711,0.2474454531028582
Test,05_base_time2024-12-04_best_5e_acc96.pth,256,0.0,0.3084656927320692,0.2099306631801917,0.2558712409419202
Validation,45_background_time2024-11-30_best_5e_acc98.pth,256,0.0,0.4606604209313026,0.3419005487699855,0.4165098052216737
