Dataset,Weight File,Patch Size,Overlap,Accuracy,F1 Score - Macro,F1 Score - Weighted
Validation,53_Final_time2024-12-05_best_5e_acc95.pth,144,0.0,0.3811238443749583,0.28419770374580433,0.3766631024487915
Test,53_Final_time2024-12-05_best_5e_acc95.pth,144,0.0,0.3425458272298177,0.2859563632520712,0.3381198485742428
Validation,53_Final_time2024-12-05_best_5e_acc95.pth,184,0.0,0.46757712730994594,0.3415826145077092,0.45016876180364473
Test,53_Final_time2024-12-05_best_5e_acc95.pth,184,0.0,0.4216237597995334,0.34757333677274743,0.41452855628135804
Validation,53_Final_time2024-12-05_best_5e_acc95.pth,256,0.0,0.5206136295938084,0.4071164142820687,0.5063021731119948
Test,53_Final_time2024-12-05_best_5e_acc95.pth,256,0.0,0.45685127046373153,0.3615286617124322,0.4456641735654468
Validation,53_Final_time2024-12-05_best_5e_acc95.pth,320,0.0,0.3927004072401259,0.3343617683695868,0.33260105280290064
Test,53_Final_time2024-12-05_best_5e_acc95.pth,320,0.0,0.34729353586832684,0.3054340716062003,0.3060446254972823
