precision,recall,f1_score
0.7135598527500191,0.7059849197428265,0.709752175679213
0.7246295651279184,0.24755841712227758,0.3690400445557157
0.532735385148449,0.8738295196544336,0.6619245284986366
0.6210810217446583,0.3812731938690775,0.47249074453597945
0.13093880559110443,0.08029730922327355,0.09954769118068786
0.109407222471722,0.9429905813069168,0.19606650631035535
0.5416664848344672,0.49797329374870447,0.5189017371649624
0.0,0.0,0.0
0.3232772853295987,0.8233056407356661,0.4642595079397199
0.6188929924024376,0.8730021210914441,0.7243068097872348
0.7111365210494179,0.5271954554047987,0.6055047421825065
0.0,0.0,0.0
0.0,0.0,0.0
0.7372298287949687,0.8580373303436121,0.7930592822966297
0.6013722487899392,0.8085833601654812,0.6897516355101293
0.8582328666453108,0.9448596285084575,0.8994653238608065
0.5114445601760154,0.8232832776708626,0.6309357487109634
0.6826472029685641,0.5427539184359191,0.604715366827561
0.0,0.0,0.0
0.5492904430976099,0.7756473944443476,0.6431331175087679
0.7035759484505315,0.9624108200063596,0.812886534641826
0.0,0.0,0.0
0.2610369047962489,0.12997112822969661,0.17353741181938895
0.4789713706612617,0.24707596743492632,0.32599063055606364
0.8576329921977911,0.4158864682291273,0.5601452780978311
