TAG,FNAME,SIZE,PATCHSIZE,PSLAB_TIME
GSD0,2024-06-28-140915-5-ForetMontmorency-5280x5280-DJI-M3E-patch-3,1024,128,4.171702796011232
GSD0,2024-06-05-132224-5-ZecBatiscan-5280x5280-DJI-M3E-patch-3,1024,128,3.872351930011064
GSD0,2024-06-05-135345-13.892-ZecBatiscan-5280x5280-DJI-M3E-patch-7,1024,128,3.8902575679821894
GSD0,2024-06-05-132546-14.677-ZecBatiscan-5280x5280-DJI-M3E-patch-8,1024,128,3.9339201409602538
GSD0,2024-07-09-153706-10.393-Domtar-5280x5280-DJI-M3E-patch-6,1024,128,3.937162613030523
GSD0,2023-07-06-135203-5-Lac-Saint-Jean-4000x4000-DJI-FC7303-patch-5,1024,128,3.9695768539095297
GSD0,2024-07-20-010912-5-Gaspesie-4000x4000-DJI-FC7303-patch-5,1024,128,3.9594582410063595
GSD0,2024-07-25-013232-5-Mauricie-4000x4000-DJI-FC7303-patch-4,1024,128,3.8267247469630092
GSD0,2023-07-13-113751-5-Lac-Saint-Jean-4000x4000-DJI-FC7303-patch-2,1024,128,3.9809820300433785
GSD0,2024-06-28-141039-5-ForetMontmorency-5280x5280-DJI-M3E-patch-1,1024,128,3.8327509879600257
GSD0,2024-07-25-013232-5-Mauricie-4000x4000-DJI-FC7303-patch-0,1024,128,3.8801763859810308
GSD0,2024-06-19-133027-5-ZecChapais-5280x5280-DJI-M3E-patch-8,1024,128,4.011683898977935
GSD0,2023-07-13-095307-5-Lac-Saint-Jean-4000x4000-DJI-FC7303-patch-0,1024,128,3.9099130210233852
GSD0,2023-07-13-113751-5-Lac-Saint-Jean-4000x4000-DJI-FC7303-patch-0,1024,128,3.9722685019951314
GSD0,2023-07-06-135203-5-Lac-Saint-Jean-4000x4000-DJI-FC7303-patch-3,1024,128,3.855407444993034
GSD0,2024-06-05-135923-5-ZecBatiscan-5280x5280-DJI-M3E-patch-2,1024,128,3.941643933998421
GSD0,2024-06-05-135013-5-ZecBatiscan-5280x5280-DJI-M3E-patch-3,1024,128,4.032967312028632
GSD0,2024-07-09-150417-5-Domtar-5280x5280-DJI-M3E-patch-13,1024,128,3.9396313739707693
GSD0,2024-06-05-132224-5-ZecBatiscan-5280x5280-DJI-M3E-patch-9,1024,128,3.969064721954055
GSD0,2023-07-06-135203-5-Lac-Saint-Jean-4000x4000-DJI-FC7303-patch-2,1024,128,3.978127018082887
GSD0,2024-07-24-230025-5-Mauricie-4000x4000-DJI-FC7303-patch-4,1024,128,3.9261699279304594
GSD0,2023-07-13-095307-5-Lac-Saint-Jean-4000x4000-DJI-FC7303-patch-1,1024,128,3.9714494419749826
GSD0,2024-06-19-125736-19.684-ZecChapais-5280x5280-DJI-M3E-patch-13,1024,128,3.8867932310095057
GSD0,2024-06-05-132242-10.131-ZecBatiscan-5280x5280-DJI-M3E-patch-14,1024,128,3.9029104550136253
GSD0,2023-07-06-135203-5-Lac-Saint-Jean-4000x4000-DJI-FC7303-patch-4,1024,128,3.9187406218843535
GSD0,2024-06-05-132544-14.673-ZecBatiscan-5280x5280-DJI-M3E-patch-3,1024,128,4.032296585966833
GSD0,2024-06-28-140733-5-ForetMontmorency-5280x5280-DJI-M3E-patch-14,1024,128,3.9836947079747915
GSD0,2024-06-28-140859-5-ForetMontmorency-5280x5280-DJI-M3E-patch-13,1024,128,3.9846108610508963
GSD0,2023-07-13-095307-5-Lac-Saint-Jean-4000x4000-DJI-FC7303-patch-3,1024,128,3.958949628053233
GSD0,2024-06-05-135645-5-ZecBatiscan-5280x5280-DJI-M3E-patch-8,1024,128,3.966165519086644
GSD0,2024-06-05-132544-14.673-ZecBatiscan-5280x5280-DJI-M3E-patch-6,1024,128,3.9117761160014197
GSD0,2024-06-05-132110-13.789-ZecBatiscan-5280x5280-DJI-M3E-patch-8,1024,128,3.9004971149843186
GSD0,2024-06-05-135645-5-ZecBatiscan-5280x5280-DJI-M3E-patch-3,1024,128,3.9904431470204145
GSD0,2024-06-28-140859-5-ForetMontmorency-5280x5280-DJI-M3E-patch-12,1024,128,3.9717074579093605
GSD0,2024-06-05-141052-5-ZecBatiscan-5280x5280-DJI-M3E-patch-3,1024,128,3.9808436669409275
GSD0,2024-06-05-135139-5-ZecBatiscan-5280x5280-DJI-M3E-patch-6,1024,128,3.9852014259668067
GSD0,2024-07-20-010912-5-Gaspesie-4000x4000-DJI-FC7303-patch-4,1024,128,3.9724236860638484
GSD0,2024-06-05-132847-11.962-ZecBatiscan-5280x5280-DJI-M3E-patch-13,1024,128,3.9174477390479296
GSD0,2024-07-09-153706-10.393-Domtar-5280x5280-DJI-M3E-patch-12,1024,128,3.989934273995459
GSD0,2023-07-06-123456-5-Lac-Saint-Jean-4000x4000-DJI-FC7303-patch-5,1024,128,4.0215883270138875
GSD0,2024-07-25-013232-5-Mauricie-4000x4000-DJI-FC7303-patch-5,1024,128,3.9791038230760023
GSD0,2024-06-05-140854-15.512-ZecBatiscan-5280x5280-DJI-M3E-patch-7,1024,128,3.891950180986896
GSD0,2024-07-25-001459-5-Mauricie-4000x4000-DJI-FC7303-patch-0,1024,128,4.015173526015133
GSD0,2024-06-05-132500-19.374-ZecBatiscan-5280x5280-DJI-M3E-patch-13,1024,128,3.9441751790000126
GSD0,2024-07-25-001459-5-Mauricie-4000x4000-DJI-FC7303-patch-5,1024,128,3.915360646904446
GSD0,2024-06-05-132224-5-ZecBatiscan-5280x5280-DJI-M3E-patch-13,1024,128,3.877879087929614
GSD0,2024-07-24-225547-5-Mauricie-4000x4000-DJI-FC7303-patch-2,1024,128,3.822701025987044
GSD0,2024-06-06-015541-5-ZecBatiscan-4000x4000-DJI-FC7303-patch-5,1024,128,3.826750878011808
GSD0,2024-06-19-132610-5-ZecChapais-5280x5280-DJI-M3E-patch-7,1024,128,3.9257170169148594
GSD0,2024-06-19-132229-5-ZecChapais-5280x5280-DJI-M3E-patch-8,1024,128,3.936023463960737
GSD0,2024-06-05-132224-5-ZecBatiscan-5280x5280-DJI-M3E-patch-11,1024,128,3.90466664894484
GSD0,2024-06-28-141049-5-ForetMontmorency-5280x5280-DJI-M3E-patch-8,1024,128,3.948054995969869
GSD0,2024-07-09-153839-5-Domtar-5280x5280-DJI-M3E-patch-12,1024,128,3.971122363000177
GSD0,2023-07-13-095307-5-Lac-Saint-Jean-4000x4000-DJI-FC7303-patch-5,1024,128,3.9584227650193498
GSD0,2023-07-06-135203-5-Lac-Saint-Jean-4000x4000-DJI-FC7303-patch-1,1024,128,3.94926372601185
GSD0,2024-06-19-123534-5-ZecChapais-5280x5280-DJI-M3E-patch-3,1024,128,3.960692461929284
GSD0,2024-06-05-135139-5-ZecBatiscan-5280x5280-DJI-M3E-patch-7,1024,128,3.9386172489030287
GSD0,2024-06-05-140448-5-ZecBatiscan-5280x5280-DJI-M3E-patch-7,1024,128,3.986852606991306
GSD0,2024-06-19-133605-12.672-ZecChapais-5280x5280-DJI-M3E-patch-9,1024,128,3.919365877052769
GSD0,2024-06-05-132652-13.669-ZecBatiscan-5280x5280-DJI-M3E-patch-7,1024,128,3.897179482039064
GSD0,2024-06-06-020002-5-ZecBatiscan-4000x4000-DJI-FC7303-patch-3,1024,128,3.9804394560633227
GSD0,2023-07-13-095307-5-Lac-Saint-Jean-4000x4000-DJI-FC7303-patch-4,1024,128,3.9056651539867744
GSD0,2024-06-05-135531-5-ZecBatiscan-5280x5280-DJI-M3E-patch-7,1024,128,3.8216913709184155
GSD0,2024-07-09-153706-10.393-Domtar-5280x5280-DJI-M3E-patch-3,1024,128,3.903663543984294
GSD0,2024-06-05-135139-5-ZecBatiscan-5280x5280-DJI-M3E-patch-11,1024,128,4.048015568987466
GSD0,2024-06-19-140732-5-ZecChapais-5280x5280-DJI-M3E-patch-9,1024,128,3.9422699799761176
GSD0,2024-07-09-150417-5-Domtar-5280x5280-DJI-M3E-patch-2,1024,128,3.9484078240348026
GSD0,2023-07-13-113751-5-Lac-Saint-Jean-4000x4000-DJI-FC7303-patch-3,1024,128,3.9810275411000475
GSD0,2024-06-19-134013-18.111-ZecChapais-5280x5280-DJI-M3E-patch-14,1024,128,4.010052448022179
GSD0,2024-06-05-132110-13.789-ZecBatiscan-5280x5280-DJI-M3E-patch-3,1024,128,3.932079645921476
GSD0,2024-06-05-132500-19.374-ZecBatiscan-5280x5280-DJI-M3E-patch-6,1024,128,4.020636303001083
GSD0,2024-07-25-013232-5-Mauricie-4000x4000-DJI-FC7303-patch-1,1024,128,4.018226562999189
GSD0,2024-06-28-140859-5-ForetMontmorency-5280x5280-DJI-M3E-patch-8,1024,128,4.001584346056916
GSD0,2024-06-28-141049-5-ForetMontmorency-5280x5280-DJI-M3E-patch-9,1024,128,3.950428345007822
GSD0,2024-06-05-132845-11.897-ZecBatiscan-5280x5280-DJI-M3E-patch-11,1024,128,3.891040236921981
GSD0,2024-06-05-135139-5-ZecBatiscan-5280x5280-DJI-M3E-patch-13,1024,128,3.816922021913342
